strategy,budget_mu,contacts,responses,profit_mu,roi
Model (temporal LR),0.0,0,0.0,0.0,
Model (temporal LR),150.0,50,34.0,224.0,1.4933333333333334
Model (temporal LR),300.0,100,64.0,404.0,1.3466666666666667
Model (temporal LR),450.0,150,83.0,463.0,1.028888888888889
Model (temporal LR),600.0,200,94.0,434.0,0.7233333333333334
Model (temporal LR),750.0,250,108.0,438.0,0.584
Model (temporal LR),900.0,300,120.0,420.0,0.4666666666666667
Model (temporal LR),1050.0,350,129.0,369.0,0.3514285714285714
Model (temporal LR),1200.0,400,136.0,296.0,0.24666666666666667
Model (temporal LR),1350.0,450,153.0,333.0,0.24666666666666667
Model (temporal LR),1500.0,500,164.0,304.0,0.20266666666666666
Model (temporal LR),1650.0,550,175.0,275.0,0.16666666666666666
Model (temporal LR),1800.0,600,185.0,235.0,0.13055555555555556
Model (temporal LR),1950.0,650,189.0,129.0,0.06615384615384616
Model (temporal LR),2100.0,700,195.0,45.0,0.02142857142857143
Model (temporal LR),2250.0,750,199.0,-61.0,-0.02711111111111111
Model (temporal LR),2400.0,800,210.0,-90.0,-0.0375
Model (temporal LR),2550.0,850,216.0,-174.0,-0.06823529411764706
Model (temporal LR),2700.0,900,218.0,-302.0,-0.11185185185185186
Model (temporal LR),2850.0,950,221.0,-419.0,-0.14701754385964913
Model (temporal LR),3000.0,1000,223.0,-547.0,-0.18233333333333332
Model (temporal LR),3150.0,1050,229.0,-631.0,-0.2003174603174603
Model (temporal LR),3300.0,1100,234.0,-726.0,-0.22
Model (temporal LR),3450.0,1150,240.0,-810.0,-0.23478260869565218
Model (temporal LR),3600.0,1200,246.0,-894.0,-0.24833333333333332
Model (temporal LR),3750.0,1250,252.0,-978.0,-0.2608
Model (temporal LR),3900.0,1300,254.0,-1106.0,-0.2835897435897436
Model (temporal LR),4050.0,1350,254.0,-1256.0,-0.31012345679012343
Model (temporal LR),4200.0,1400,258.0,-1362.0,-0.3242857142857143
Model (temporal LR),4350.0,1450,260.0,-1490.0,-0.3425287356321839
Model (temporal LR),4500.0,1500,264.0,-1596.0,-0.3546666666666667
