segment,campaign,n,acceptors,rate,ci_low,ci_high,overall_rate,index_vs_overall
Core high-value (recent),C1,228,43,0.18859649122807018,0.14313813273696108,0.24437434789394025,0.06587419514611194,2.8629798179659676
Core high-value (recent),C2,228,7,0.03070175438596491,0.01494996489107624,0.06200546366535242,0.012877662209014363,2.3841093117408905
Core high-value (recent),C3,228,25,0.10964912280701754,0.07538082330039525,0.1568531312932697,0.0718177315502724,1.5267695099818512
Core high-value (recent),C4,228,29,0.12719298245614036,0.09003885449846637,0.17670143921458448,0.07528479445269935,1.689490997229917
Core high-value (recent),C5,228,46,0.20175438596491227,0.15480291240860317,0.2585893225618375,0.07231302625061913,2.79001441961067
Core high-value (recent),C6 (pilot),228,72,0.3157894736842105,0.2589301669077661,0.37875327233868245,0.14561664190193166,2.1686358754027926
High-value (cooling),C1,220,34,0.15454545454545454,0.11275091307542454,0.2081970435684873,0.06587419514611194,2.34606971975393
High-value (cooling),C2,220,5,0.022727272727272728,0.00974589223845259,0.05209010049326777,0.012877662209014363,1.76486013986014
High-value (cooling),C3,220,16,0.07272727272727272,0.04525896745118634,0.11486087366102044,0.0718177315502724,1.0126645768025078
High-value (cooling),C4,220,25,0.11363636363636363,0.07816556614903228,0.16236833272902704,0.07528479445269935,1.5094198564593302
High-value (cooling),C5,220,38,0.17272727272727273,0.12850605183083713,0.2281814860423425,0.07231302625061913,2.388605230386052
High-value (cooling),C6 (pilot),220,53,0.2409090909090909,0.1891582462925665,0.30155272119036736,0.14561664190193166,1.6544063079777365
High-value (lapsing),C1,225,33,0.14666666666666667,0.10637984657597188,0.19881598280133306,0.06587419514611194,2.226466165413534
High-value (lapsing),C2,225,5,0.022222222222222223,0.009528480583491664,0.050956445932989904,0.012877662209014363,1.7256410256410257
High-value (lapsing),C3,225,17,0.07555555555555556,0.047705468361644306,0.11765555938090444,0.0718177315502724,1.0520459770114943
High-value (lapsing),C4,225,37,0.16444444444444445,0.12172189060376273,0.2184326391822313,0.07528479445269935,2.1842982456140354
High-value (lapsing),C5,225,43,0.19111111111111112,0.14509199715413276,0.24750058324489485,0.07231302625061913,2.6428310502283106
High-value (lapsing),C6 (pilot),225,34,0.1511111111111111,0.11019574158457462,0.2037397628949026,0.14561664190193166,1.0377324263038548
Low-value (cooling),C1,228,0,0.0,0.0,0.01656933509750344,0.06587419514611194,0.0
Low-value (cooling),C2,228,0,0.0,0.0,0.01656933509750344,0.012877662209014363,0.0
Low-value (cooling),C3,228,13,0.05701754385964912,0.03362067677800647,0.09509426045750095,0.0718177315502724,0.7939201451905626
Low-value (cooling),C4,228,2,0.008771929824561403,0.00240888496988482,0.031413619687311545,0.07528479445269935,0.11651662049861496
Low-value (cooling),C5,228,0,0.0,0.0,0.01656933509750344,0.07231302625061913,0.0
Low-value (cooling),C6 (pilot),228,11,0.04824561403508772,0.02715012851474579,0.08431163916106871,0.14561664190193166,0.33131936985320437
Low-value (lapsing),C1,222,0,0.0,1.734723475976807e-18,0.017009537756059373,0.06587419514611194,0.0
Low-value (lapsing),C2,222,0,0.0,1.734723475976807e-18,0.017009537756059373,0.012877662209014363,0.0
Low-value (lapsing),C3,222,11,0.04954954954954955,0.02788984986069597,0.0865331571267449,0.0718177315502724,0.6899347623485556
Low-value (lapsing),C4,222,3,0.013513513513513514,0.004606265568081087,0.03897058197835507,0.07528479445269935,0.17949857752489334
Low-value (lapsing),C5,222,0,0.0,1.734723475976807e-18,0.017009537756059373,0.07231302625061913,0.0
Low-value (lapsing),C6 (pilot),222,4,0.018018018018018018,0.007028604354170409,0.045404013122391326,0.14561664190193166,0.12373598087883801
Low-value (recent),C1,223,0,0.0,0.0,0.016934553501221267,0.06587419514611194,0.0
Low-value (recent),C2,223,1,0.004484304932735426,0.0007920290083262595,0.024959254954767467,0.012877662209014363,0.3482235253535702
Low-value (recent),C3,223,21,0.09417040358744394,0.06241926389723573,0.13966662930330712,0.0718177315502724,1.311241688572754
Low-value (recent),C4,223,1,0.004484304932735426,0.0007920290083262595,0.024959254954767467,0.07528479445269935,0.059564550389426485
Low-value (recent),C5,223,0,0.0,0.0,0.016934553501221267,0.07231302625061913,0.0
Low-value (recent),C6 (pilot),223,38,0.17040358744394618,0.12673957236162342,0.2252307386907511,0.14561664190193166,1.1702205545895488
Mid-value (cooling),C1,225,6,0.02666666666666667,0.012277633604697441,0.05694696801395639,0.06587419514611194,0.404812030075188
Mid-value (cooling),C2,225,1,0.0044444444444444444,0.0007849848779462459,0.024741241229846254,0.012877662209014363,0.34512820512820513
Mid-value (cooling),C3,225,7,0.03111111111111111,0.015150361254520125,0.06281391546630596,0.0718177315502724,0.4331954022988506
Mid-value (cooling),C4,225,20,0.08888888888888889,0.05827830714577196,0.1333017459032936,0.07528479445269935,1.180701754385965
Mid-value (cooling),C5,225,6,0.02666666666666667,0.012277633604697441,0.05694696801395639,0.07231302625061913,0.3687671232876712
Mid-value (cooling),C6 (pilot),225,20,0.08888888888888889,0.05827830714577196,0.1333017459032936,0.14561664190193166,0.6104308390022676
