dataset,column,dtype,n_rows,n_missing,pct_missing,n_unique,min,median,max,top_value,top_share_pct
ifood,ID,int64,2240,0,0.0,2240,0.0,5458.5,11191.0,5524,0.04
ifood,Year_Birth,int64,2240,0,0.0,59,1893.0,1970.0,1996.0,1976,3.97
ifood,Education,str,2240,0,0.0,5,,,,Graduation,50.31
ifood,Marital_Status,str,2240,0,0.0,8,,,,Married,38.57
ifood,Income,float64,2240,24,1.07,1974,1730.0,51381.5,666666.0,7500.0,0.54
ifood,Kidhome,int64,2240,0,0.0,3,0.0,0.0,2.0,0,57.72
ifood,Teenhome,int64,2240,0,0.0,3,0.0,0.0,2.0,0,51.7
ifood,Dt_Customer,str,2240,0,0.0,663,,,,2012-08-31,0.54
ifood,Recency,int64,2240,0,0.0,100,0.0,49.0,99.0,56,1.65
ifood,MntWines,int64,2240,0,0.0,776,0.0,173.5,1493.0,2,1.88
ifood,MntFruits,int64,2240,0,0.0,158,0.0,8.0,199.0,0,17.86
ifood,MntMeatProducts,int64,2240,0,0.0,558,0.0,67.0,1725.0,7,2.37
ifood,MntFishProducts,int64,2240,0,0.0,182,0.0,12.0,259.0,0,17.14
ifood,MntSweetProducts,int64,2240,0,0.0,177,0.0,8.0,263.0,0,18.71
ifood,MntGoldProds,int64,2240,0,0.0,213,0.0,24.0,362.0,1,3.26
ifood,NumDealsPurchases,int64,2240,0,0.0,15,0.0,2.0,15.0,1,43.3
ifood,NumWebPurchases,int64,2240,0,0.0,15,0.0,4.0,27.0,2,16.65
ifood,NumCatalogPurchases,int64,2240,0,0.0,14,0.0,2.0,28.0,0,26.16
ifood,NumStorePurchases,int64,2240,0,0.0,14,0.0,5.0,13.0,3,21.88
ifood,NumWebVisitsMonth,int64,2240,0,0.0,16,0.0,6.0,20.0,7,17.54
ifood,AcceptedCmp3,int64,2240,0,0.0,2,0.0,0.0,1.0,0,92.72
ifood,AcceptedCmp4,int64,2240,0,0.0,2,0.0,0.0,1.0,0,92.54
ifood,AcceptedCmp5,int64,2240,0,0.0,2,0.0,0.0,1.0,0,92.72
ifood,AcceptedCmp1,int64,2240,0,0.0,2,0.0,0.0,1.0,0,93.57
ifood,AcceptedCmp2,int64,2240,0,0.0,2,0.0,0.0,1.0,0,98.66
ifood,Complain,int64,2240,0,0.0,2,0.0,0.0,1.0,0,99.06
ifood,Z_CostContact,int64,2240,0,0.0,1,3.0,3.0,3.0,3,100.0
ifood,Z_Revenue,int64,2240,0,0.0,1,11.0,11.0,11.0,11,100.0
ifood,Response,int64,2240,0,0.0,2,0.0,0.0,1.0,0,85.09
hillstrom,recency,int64,64000,0,0.0,12,1.0,6.0,12.0,1,13.99
hillstrom,history_segment,str,64000,0,0.0,7,,,,1) $0 - $100,35.89
hillstrom,history,float64,64000,0,0.0,34833,29.99,158.11,3345.93,29.99,12.42
hillstrom,mens,int64,64000,0,0.0,2,0.0,1.0,1.0,1,55.1
hillstrom,womens,int64,64000,0,0.0,2,0.0,1.0,1.0,1,54.97
hillstrom,zip_code,str,64000,0,0.0,3,,,,Surburban,44.96
hillstrom,newbie,int64,64000,0,0.0,2,0.0,1.0,1.0,1,50.22
hillstrom,channel,str,64000,0,0.0,3,,,,Web,44.09
hillstrom,segment,str,64000,0,0.0,3,,,,Womens E-Mail,33.42
hillstrom,visit,int64,64000,0,0.0,2,0.0,0.0,1.0,0,85.32
hillstrom,conversion,int64,64000,0,0.0,2,0.0,0.0,1.0,0,99.1
hillstrom,spend,float64,64000,0,0.0,429,0.0,0.0,499.0,0.0,99.1
