dimension,level,arm,outcome,n_treated,n_control,control_mean,treated_mean,effect,ci_low,ci_high,p_value,relative_lift,p_bh,significant_bh_5pct
history_band,$0 - $100,Mens,conversion,7724,7612,0.004203888596952181,0.009192128430864838,0.004988239833912657,0.0024109924039650305,0.0075654872638602835,0.00015589461902365542,1.1865775504919733,0.0008069839102400986,True
history_band,$0 - $100,Mens,spend,7724,7612,0.516893063583815,1.0551760745727603,0.5382830109889453,0.11287520169071519,0.9636908202871753,0.013149698788124824,1.0413817652278512,0.02462071262457414,True
history_band,$0 - $100,Womens,conversion,7634,7612,0.004203888596952181,0.007990568509300498,0.003786679912348317,0.0013165858135787295,0.006256774011117905,0.0026784363362160057,0.9007564841498559,0.00841794277096459,True
history_band,$0 - $100,Womens,spend,7634,7612,0.516893063583815,1.142712863505371,0.6258197999215559,0.18813985065494931,1.0634997491881624,0.0050785968359421,1.210733600452114,0.0135429248958456,True
history_band,"$1,000 +",Mens,conversion,464,416,0.014423076923076924,0.023706896551724137,0.009283819628647213,-0.008685106621338784,0.02725274587863321,0.3178188284221224,0.6436781609195401,0.35402603672337685,False
history_band,"$1,000 +",Mens,spend,464,416,2.169807692307692,3.491875,1.3220673076923077,-2.4652993492476085,5.109433964632224,0.49404882851064286,0.6093016041832847,0.5238108061317659,False
history_band,"$1,000 +",Womens,conversion,428,416,0.014423076923076924,0.02570093457943925,0.011277857656362328,-0.007590437509429105,0.03014615282215376,0.243624631779233,0.7819314641744547,0.28585290128763335,False
history_band,"$1,000 +",Womens,spend,428,416,2.169807692307692,4.676588785046729,2.5067810927390366,-1.9187366967503583,6.932298882228432,0.2672674113773776,1.1553010442473626,0.30544847014557436,False
history_band,$100 - $200,Mens,conversion,4691,4836,0.0041356492969396195,0.008953314858239182,0.004817665561299562,0.0015714716983214931,0.00806385942427763,0.003458857301556817,1.1649115327222341,0.010145981417899996,True
history_band,$100 - $200,Mens,spend,4691,4836,0.42289495450785775,1.127143466211895,0.7042485117040373,0.19780360106323702,1.2106934223448378,0.006437942003036568,1.6653036509352628,0.014526638365826102,True
history_band,$100 - $200,Womens,conversion,4727,4836,0.0041356492969396195,0.007827374656230167,0.0036917253592905477,0.0005961186846146702,0.006787332033966425,0.01903170094823059,0.8926591918764545,0.03283901340086847,True
history_band,$100 - $200,Womens,spend,4727,4836,0.42289495450785775,0.8812883435582823,0.4583933890504246,0.04389627784689648,0.8728905002539527,0.030225163745763232,1.0839414946056238,0.04666341069521341,True
history_band,$200 - $350,Mens,conversion,4090,4044,0.006923837784371909,0.015403422982885086,0.008479585198513176,0.003921508465252981,0.013037661931773371,0.0002774416324644591,1.2246943765281173,0.0012207431828436198,True
history_band,$200 - $350,Mens,spend,4090,4044,0.9328808110781406,1.4694621026894867,0.5365812916113462,-0.16888496144927545,1.2420475446719679,0.13606410314804507,0.5751874036204189,0.17353103010185458,False
history_band,$200 - $350,Womens,conversion,4155,4044,0.006923837784371909,0.006257521058965102,-0.0006663167254068068,-0.00417069151229054,0.002838058061476926,0.709211727681355,-0.09623517276946882,0.7257050236739446,False
history_band,$200 - $350,Womens,spend,4155,4044,0.9328808110781406,0.6097400722021661,-0.3231407388759745,-0.8906928918737749,0.24441141412182588,0.2644927093110117,-0.34639016585893456,0.30544847014557436,False
history_band,$350 - $500,Mens,conversion,2097,2124,0.011299435028248588,0.020028612303290415,0.008729177275041827,0.0012351512549471184,0.016223203295136535,0.022277746698869283,0.7725321888412017,0.03770080210577879,True
history_band,$350 - $500,Mens,spend,2097,2124,1.0102683615819208,2.579208392942298,1.5689400313603774,0.38720334921925503,2.7506767135015,0.009307654959671523,1.5529933342697826,0.019319938502872634,True
