feature,pr_auc_drop_mean,pr_auc_drop_std
hist_n_prior,0.1900252545525831,0.009922155124087855
total_spend,0.03933548074837001,0.008520790394361552
Teenhome,0.02288004190207422,0.003988662048564152
share_gold,0.019069342319775952,0.004211875470084026
Income,0.013116656797403353,0.0042019011592757775
share_store,0.013063145093789436,0.0026497752082722216
share_catalog,0.011508014256705015,0.0034203160040677636
children,0.010567140105276863,0.0027165649727083387
age,0.005528484333440939,0.003277760266989075
hist_ever,0.004321766175237179,0.0014563176855854924
aov,0.0033521362675781098,0.0038028258211733126
NumWebVisitsMonth,0.002563856067653267,0.0020209849701746346
edu_master,0.0015180068094407528,0.0009747582537434139
income_missing_flag,0.0012878975144201637,0.0008401927266190476
edu_2n_cycle,0.0008682849229018658,0.0006239593638717521
deals_share,0.0006494851614576774,0.001580337309373162
edu_basic,0.0006156206277912162,0.001205691972180337
total_purchases,0.0005355468362985338,0.0004569226187569485
Kidhome,0.00017193135395676408,0.00021976320905162352
Complain,0.00016510675494030015,0.00019102161589456542
share_web,-0.0003410744319472275,0.00030228993247676667
partnered,-0.0006057895662742646,0.00027865112445330295
share_fish,-0.0008030329955860227,0.004513215126239555
Recency,-0.0017259026525589167,0.00030468210989800034
edu_phd,-0.002459657278967542,0.002022664134734808
share_sweet,-0.002559625068838234,0.002101681935466607
tenure_days,-0.008028901423724585,0.0016536510728940067
share_meat,-0.012597896235892667,0.004248691680610926
share_wines,-0.015230173911083342,0.003186852982159721
hist_last,-0.01683965684881762,0.0023102931159284562
category_entropy,-0.01727067409106328,0.005421907444759852
