contacts,share_contacted,responses,precision,recall,f1,profit,score_cutoff
1,0.0004952947003467063,1,1.0,0.003401360544217687,0.006779661016942396,8.0,0.8933399308715847
21,0.010401188707280832,18,0.8571428571428571,0.061224489795918366,0.11428571428558984,135.0,0.6601840197908727
41,0.02030708271421496,26,0.6341463414634146,0.08843537414965986,0.15522388059680012,163.0,0.5363763199931868
61,0.030212976721149084,42,0.6885245901639344,0.14285714285714285,0.23661971830957454,279.0,0.47193583350593243
81,0.04011887072808321,53,0.654320987654321,0.18027210884353742,0.282666666666328,340.0,0.3747932875727393
101,0.05002476473501734,65,0.6435643564356436,0.22108843537414966,0.3291139240502523,412.0,0.3338622137532302
121,0.05993065874195146,75,0.6198347107438017,0.25510204081632654,0.361445783132117,462.0,0.29516180616392673
141,0.06983655274888559,81,0.574468085106383,0.2755102040816326,0.3724137931030101,468.0,0.2709766384416492
161,0.07974244675581971,87,0.5403726708074534,0.29591836734693877,0.38241758241712515,474.0,0.2530426955436999
181,0.08964834076275384,91,0.5027624309392266,0.30952380952380953,0.3831578947363704,458.0,0.23354159272423436
201,0.09955423476968796,95,0.472636815920398,0.3231292517006803,0.38383838383790153,442.0,0.21399322438997273
221,0.10946012877662209,101,0.45701357466063347,0.3435374149659864,0.3922330097082479,448.0,0.19798646611234547
241,0.11936602278355622,107,0.44398340248962653,0.36394557823129253,0.39999999999950486,454.0,0.1849436111152227
261,0.12927191679049035,111,0.42528735632183906,0.37755102040816324,0.39999999999950175,438.0,0.1612903581236113
281,0.13917781079742447,115,0.4092526690391459,0.391156462585034,0.39999999999950026,422.0,0.14741176678662124
301,0.1490837048043586,120,0.39867109634551495,0.40816326530612246,0.40336134453731526,417.0,0.1375667314034875
321,0.1589895988112927,122,0.38006230529595014,0.41496598639455784,0.39674796747917573,379.0,0.12907705436799996
341,0.16889549281822686,128,0.375366568914956,0.43537414965986393,0.4031496062987154,385.0,0.12016966234040148
361,0.17880138682516097,129,0.3573407202216066,0.4387755102040816,0.3938931297704976,336.0,0.11545850796669048
381,0.1887072808320951,132,0.3464566929133858,0.4489795918367347,0.3911111111106194,309.0,0.10842865055680984
401,0.1986131748390292,136,0.33915211970074816,0.46258503401360546,0.3913669064743321,293.0,0.1029748389165666
421,0.20851906884596336,143,0.33966745843230406,0.48639455782312924,0.3999999999995158,310.0,0.09790438058601608
441,0.21842496285289748,148,0.3356009070294785,0.5034013605442177,0.40272108843489424,305.0,0.09218370069616959
461,0.2283308568598316,156,0.3383947939262473,0.5306122448979592,0.41324503311210725,333.0,0.08732375746150786
481,0.2382367508667657,161,0.33471933471933474,0.5476190476190477,0.4154838709672711,328.0,0.08480557416507863
501,0.24814264487369986,164,0.3273453093812375,0.5578231292517006,0.41257861635173515,301.0,0.08069969140206051
521,0.258048538880634,167,0.32053742802303264,0.5680272108843537,0.4098159509197842,274.0,0.07664832728969254
541,0.2679544328875681,172,0.3179297597042514,0.5850340136054422,0.4119760479037354,269.0,0.07359270562161686
561,0.27786032689450224,176,0.3137254901960784,0.5986394557823129,0.4116959064322973,253.0,0.0706443378455704
581,0.28776622090143633,181,0.31153184165232356,0.6156462585034014,0.41371428571383956,248.0,0.06879144571888027
601,0.2976721149083705,185,0.30782029950083195,0.6292517006802721,0.4134078212286091,232.0,0.06571733938433127
621,0.3075780089153046,186,0.2995169082125604,0.6326530612244898,0.4065573770487442,183.0,0.0628559033371158
641,0.3174839029222387,188,0.29329173166926675,0.6394557823129252,0.40213903743272394,145.0,0.06041640102975934
661,0.32738979692917286,190,0.2874432677760968,0.6462585034013606,0.39790575916187754,107.0,0.05820075902698972
681,0.337295690936107,193,0.2834067547723935,0.6564625850340136,0.39589743589701465,80.0,0.05631640481987916
701,0.3472015849430411,195,0.2781740370898716,0.6632653061224489,0.3919597989945585,42.0,0.053954539813597276
721,0.35710747894997524,195,0.27045769764216365,0.6632653061224489,0.38423645320155897,-18.0,0.05136133359688039
741,0.36701337295690933,198,0.26720647773279355,0.673469387755102,0.3826086956517672,-45.0,0.04992544982421694
761,0.3769192669638435,201,0.26412614980289095,0.6836734693877551,0.381042654028034,-72.0,0.04748606859785507
781,0.3868251609707776,205,0.26248399487836105,0.6972789115646258,0.38139534883681186,-88.0,0.04615930521105892
