method,contact_share,contacts,responses,response_rate,profit_mu,avg_hist_spend_contacted,avg_hist_spend_responders
Model p (expected profit),0.1,202,95,0.47029702970297027,439.0,1400.0643564356435,1523.8631578947368
Model p (expected profit),0.2,404,137,0.33910891089108913,295.0,1257.3539603960396,1424.6715328467153
Model p (expected profit),0.3,606,185,0.30528052805280526,217.0,1151.4422442244224,1313.5135135135135
Prior-acceptance rule,0.1,202,107,0.5297029702970297,571.0,1497.0643564356435,1530.4018691588785
Prior-acceptance rule,0.2,404,162,0.400990099009901,570.0,1122.8861386138615,1249.3641975308642
Prior-acceptance rule,0.3,606,194,0.3201320132013201,316.0,1120.427392739274,1265.4381443298969
RFM score,0.1,202,80,0.39603960396039606,274.0,1404.3613861386139,1545.95
RFM score,0.2,404,135,0.3341584158415842,273.0,1311.3935643564357,1480.3333333333333
RFM score,0.3,606,172,0.2838283828382838,74.0,1271.1320132013202,1445.546511627907
Historical value,0.1,202,85,0.4207920792079208,329.0,1825.0643564356435,1871.3176470588235
Historical value,0.2,404,136,0.33663366336633666,284.0,1585.7153465346535,1676.8529411764705
Historical value,0.3,606,157,0.2590759075907591,-91.0,1405.6303630363036,1596.9108280254777
Blend: rank(p) + rank(value),0.1,202,96,0.4752475247524752,450.0,1729.2871287128712,1745.2395833333333
Blend: rank(p) + rank(value),0.2,404,142,0.35148514851485146,350.0,1525.450495049505,1619.274647887324
Blend: rank(p) + rank(value),0.3,606,179,0.2953795379537954,151.0,1333.447194719472,1461.0558659217877
