campaign_label,rfm_segment,n,rate,index_vs_segment_avg,segment_rank
C1,Core high-value (recent),228,0.1886,2.865,1
C1,High-value (cooling),220,0.1545,2.348,2
C1,High-value (lapsing),225,0.1467,2.228,3
C1,Mid-value (recent),222,0.0405,0.616,4
C1,Mid-value (lapsing),226,0.0354,0.538,5
C1,Mid-value (cooling),225,0.0267,0.405,6
C1,Low-value (cooling),228,0.0,0.0,7
C1,Low-value (lapsing),222,0.0,0.0,7
C1,Low-value (recent),223,0.0,0.0,7
C2,Core high-value (recent),228,0.0307,2.386,1
C2,High-value (cooling),220,0.0227,1.766,2
C2,High-value (lapsing),225,0.0222,1.727,3
C2,Mid-value (lapsing),226,0.0177,1.376,4
C2,Mid-value (recent),222,0.0135,1.05,5
C2,Low-value (recent),223,0.0045,0.349,6
C2,Mid-value (cooling),225,0.0044,0.345,7
C2,Low-value (cooling),228,0.0,0.0,8
C2,Low-value (lapsing),222,0.0,0.0,8
C3,Core high-value (recent),228,0.1096,1.528,1
C3,Low-value (recent),223,0.0942,1.312,2
C3,Mid-value (lapsing),226,0.0796,1.11,3
C3,Mid-value (recent),222,0.0766,1.067,4
C3,High-value (lapsing),225,0.0756,1.053,5
C3,High-value (cooling),220,0.0727,1.013,6
C3,Low-value (cooling),228,0.057,0.794,7
C3,Low-value (lapsing),222,0.0495,0.69,8
C3,Mid-value (cooling),225,0.0311,0.433,9
C4,High-value (lapsing),225,0.1644,2.185,1
C4,Core high-value (recent),228,0.1272,1.69,2
C4,High-value (cooling),220,0.1136,1.51,3
C4,Mid-value (cooling),225,0.0889,1.181,4
C4,Mid-value (recent),222,0.0856,1.137,5
C4,Mid-value (lapsing),226,0.0708,0.941,6
C4,Low-value (lapsing),222,0.0135,0.18,7
C4,Low-value (cooling),228,0.0088,0.117,8
C4,Low-value (recent),223,0.0045,0.06,9
C5,Core high-value (recent),228,0.2018,2.792,1
C5,High-value (lapsing),225,0.1911,2.644,2
C5,High-value (cooling),220,0.1727,2.39,3
C5,Mid-value (recent),222,0.036,0.499,4
C5,Mid-value (cooling),225,0.0267,0.369,5
C5,Mid-value (lapsing),226,0.0221,0.306,6
C5,Low-value (cooling),228,0.0,0.0,7
C5,Low-value (lapsing),222,0.0,0.0,7
C5,Low-value (recent),223,0.0,0.0,7
C6 (pilot),Core high-value (recent),228,0.3158,2.167,1
C6 (pilot),High-value (cooling),220,0.2409,1.653,2
C6 (pilot),Mid-value (recent),222,0.2162,1.484,3
C6 (pilot),Low-value (recent),223,0.1704,1.169,4
C6 (pilot),High-value (lapsing),225,0.1511,1.037,5
C6 (pilot),Mid-value (cooling),225,0.0889,0.61,6
C6 (pilot),Mid-value (lapsing),226,0.0619,0.425,7
C6 (pilot),Low-value (cooling),228,0.0482,0.331,8
C6 (pilot),Low-value (lapsing),222,0.018,0.124,9
