enrol_month,new_customers,avg_spend,new_customers_3m_avg,avg_spend_3m_avg,pilot_response
2012-07,2,678.5,2.0,678.5,0.5
2012-08,103,798.7,52.5,738.6,0.2816
2012-09,90,879.8,65.0,785.7,0.3667
2012-10,79,682.5,90.7,787.0,0.2532
2012-11,86,761.0,85.0,774.5,0.2326
2012-12,76,605.4,80.3,683.0,0.1711
2013-01,98,662.4,86.7,676.3,0.1837
2013-02,88,717.9,87.3,661.9,0.1591
2013-03,95,664.0,93.7,681.4,0.1579
2013-04,78,696.4,87.0,692.8,0.1795
2013-05,95,656.5,89.3,672.3,0.1474
2013-06,76,572.5,83.0,641.8,0.1184
2013-07,92,501.8,87.7,576.9,0.0978
2013-08,95,527.3,87.7,533.9,0.1368
2013-09,86,530.1,91.0,519.7,0.0465
2013-10,105,536.1,95.3,531.2,0.1143
2013-11,82,647.0,91.0,571.1,0.0976
2013-12,85,552.9,90.7,578.7,0.0471
2014-01,85,554.5,84.0,584.8,0.0824
2014-02,67,490.0,79.0,532.5,0.1493
2014-03,105,441.4,85.7,495.3,0.0857
2014-04,87,471.7,86.3,467.7,0.0805
2014-05,95,489.3,95.7,467.5,0.0632
2014-06,69,455.4,83.7,472.1,0.0725
